mass_den,atom_num_1,atom_per_mol_1,atom_num_2,atom_per_mol_2,atom_num_3,atom_per_mol_3,atom_num_4,atom_per_mol_4,atom_num_5,atom_per_mol_5,mean_excit,geo_number,spc,energy_ratio
3.03046108,1,1.0,6,0.499982168,51,0.230412676,-1,-1,-1,-1,281.83945,60,120,0.374509
3.03046108,1,1.0,6,0.499982168,51,0.230412676,-1,-1,-1,-1,281.83945,120,120,0.201724
1.86661342,1,0.385381205,5,1.0,6,0.19268373,-1,-1,-1,-1,70.8765506,90,120,0.608293
1.94,1,1.0,6,0.499975397,56,0.11915758,-1,-1,-1,-1,218.376515,60,120,0.489513
1.94,1,1.0,6,0.499975397,56,0.11915758,-1,-1,-1,-1,218.376515,120,120,0.336917
2.0307799,1,1.0,6,0.499982168,83,0.0260083214,50,0.0428317725,-1,-1,197.822719,90,120,0.380209
1.89610965,1,1.0,6,0.499982168,51,0.0619234066,50,0.0147695767,5,0.113523959,155.413535,90,120,0.496102
2.58078176,1,1.0,6,0.499975397,83,0.0525753519,74,0.0139867917,51,0.0230410004,278.470233,30,120,0.523362
1.80650271,1,1.0,6,0.499982168,51,0.0360019806,29,0.044145569,5,0.30813646,121.678201,30,120,0.632703
2.00416754,1,1.0,6,0.499982168,74,0.0114438713,51,0.0691238027,-1,-1,181.239609,60,120,0.491917
2.31070765,1,1.0,6,0.499975397,51,0.107524668,29,0.029430038,5,0.129740163,192.921775,90,120,0.416607
2.22383672,1,1.0,6,0.499975397,51,0.0883238348,50,0.0236310487,5,0.259480325,178.526293,120,120,0.360987
1.73701083,1,1.0,6,0.499982168,50,0.0162465344,56,0.062558455,-1,-1,173.458792,60,120,0.568702
2.00131109,1,1.0,6,0.499982168,83,0.0117456935,51,0.0158408715,50,0.0516935186,185.02293,30,120,0.601355
2.27174228,1,1.0,6,0.499975397,83,0.0469822293,50,0.0236310487,5,0.345973767,197.092606,90,120,0.3625
1.9199246,1,1.0,6,0.499982168,51,0.0590432482,29,0.0248318826,56,0.0127670316,169.650713,60,120,0.539179
3.36130242,1,1.0,6,0.499982168,83,0.115778979,51,0.0316817429,-1,-1,385.145913,60,120,0.293509
2.06242184,1,1.0,6,0.499982168,83,0.0293642339,29,0.0689774516,-1,-1,185.072777,30,120,0.575641
2.11331615,1,1.0,6,0.499975397,51,0.0595225843,56,0.0663877946,-1,-1,219.199049,30,120,0.619763
2.09457883,1,1.0,6,0.499982168,83,0.0192964965,74,0.0219340867,51,0.0201611091,205.419576,120,120,0.288265
2.01591385,1,1.0,6,0.499982168,83,0.0260083214,51,0.0417622975,-1,-1,197.466373,60,120,0.462185
2.28307162,1,1.0,6,0.499975397,50,0.0905856868,29,0.0478238118,5,0.237856965,174.651994,60,120,0.527601
1.93016611,1,1.0,6,0.499982168,51,0.0216011884,29,0.0855320399,56,0.0178738443,158.533307,30,120,0.61213
2.92261848,1,1.0,6,0.499982168,51,0.164169031,29,0.0607001574,56,0.0306408759,270.330784,60,120,0.411913
2.11937998,1,0.522550786,6,0.261266075,83,0.0184131642,5,1.0,-1,-1,107.914512,60,120,0.574469
2.20028051,1,1.0,6,0.499975397,29,0.165543964,5,0.302727046,56,0.0187247626,149.703239,90,120,0.488588
2.16015803,1,1.0,6,0.499975397,51,0.042241834,29,0.0478238118,56,0.05957879,209.781092,30,120,0.597334
2.36305613,1,0.770762409,6,0.38536746,51,0.0310788501,29,0.110583672,5,1.0,127.500729,30,120,0.613028
1.70692483,1,1.0,6,0.499982168,83,0.0218134309,5,0.551402085,-1,-1,109.495161,90,120,0.544849
1.76296775,1,1.0,6,0.499982168,51,0.0547230105,5,0.356789585,-1,-1,121.165473,60,120,0.604562
2.02164417,1,1.0,6,0.499982168,74,0.00953655945,50,0.0738478837,-1,-1,180.736679,60,120,0.495769
1.65153039,1,1.0,6,0.499982168,29,0.0386273729,5,0.50274896,56,0.0191505475,100.508972,90,120,0.596821
3.28228366,1,1.0,6,0.499982168,74,0.0495901091,51,0.155528556,-1,-1,308.07404,120,120,0.15604
2.00661872,1,1.0,6,0.499982168,83,0.0167795622,51,0.0244813468,50,0.0339700265,189.300206,90,120,0.380094
2.17585142,1,1.0,6,0.499975397,51,0.0960041682,5,0.216233604,56,0.0170225114,184.403107,120,120,0.35241
2.14422398,1,1.0,6,0.499975397,51,0.0864037514,5,0.216233604,56,0.0255337672,184.255928,60,120,0.508138
